order_id,customer_id,order_date,total_amount,payment_method,shipping_country
4988172,88774,2024-12-26,3053.48,PayPal,Brunei Darussalam
6445659,1786611,2023-10-08,1789.49,Cash,Guatemala
1476694,190194,2023-10-31,233.17,Bank Transfer,Maldives
5423051,1337301,2024-11-22,4361.16,Credit Card,Grenada
7852758,499629,2023-06-02,1779.42,Credit Card,Czech Republic
7028216,957827,2024-03-29,0.0,Bank Transfer,Malaysia
3374023,1014799,2022-11-23,1462.01,Credit Card,Philippines
4220251,1611308,2024-04-18,1990.73,Bank Transfer,Qatar
475653,1029325,2025-06-22,1771.03,Credit Card,Guinea-Bissau
7241823,1827441,2025-08-13,2711.47,PayPal,Tanzania
5442454,1134561,2025-07-16,44.7,PayPal,Lesotho
3854831,1456706,2023-04-09,638.8,Cash,France
2356635,76207,2023-07-13,485.99,PayPal,Kenya
3570091,808100,2025-07-23,503.42,Cash,Russian Federation
3205593,4199,2022-09-15,2495.85,PayPal,Brazil
1673807,1347195,2023-11-06,90.93,Credit Card,Saint Helena
7101372,1094990,2022-07-28,449.5,Credit Card,Western Sahara
1406107,281733,2024-02-23,358.72,Credit Card,Turkmenistan
3694145,1508894,2024-10-14,1734.92,Credit Card,Latvia
340769,1726121,2025-08-05,3136.38,PayPal,Trinidad and Tobago
131539,1926761,2022-10-05,567.16,Bank Transfer,Philippines
1058051,1551728,2022-11-05,2375.95,Credit Card,Indonesia
1761231,735394,2022-09-26,1974.27,Cash,Turkmenistan
2269450,1060153,2022-11-13,0.0,PayPal,Gibraltar
6305151,1321390,2025-06-10,700.0,PayPal,Hungary
5055247,780681,2025-06-05,660.53,PayPal,Russian Federation
6449803,1857096,2023-09-20,1391.43,Credit Card,Ukraine
7578089,1665204,2024-08-12,1797.44,Credit Card,Kenya
3847717,11321,2024-03-05,2159.75,Credit Card,Moldova
7134454,1649166,2025-06-06,68.13,Credit Card,Angola
7742176,1571764,2022-04-17,2704.04,Credit Card,Jamaica
7718760,719956,2025-04-04,284.76,Bank Transfer,Liberia
4280374,1093794,2023-12-30,4064.21,PayPal,Moldova
1759580,692041,2022-11-23,364.42,Bank Transfer,Iraq
660506,1673927,2025-01-29,0.0,Bank Transfer,Greece
416856,834378,2023-11-01,573.78,PayPal,Estonia
7719013,647849,2023-12-21,1776.02,Credit Card,Netherlands Antilles
7549898,185748,2024-12-12,232.23,Bank Transfer,Tunisia
7130975,894491,2025-01-18,5420.5,PayPal,Andorra
7040044,1574328,2025-01-07,1917.42,Cash,Iraq
1313879,1505368,2024-03-19,0.0,Cash,Cameroon
3108269,720006,2025-07-06,0.0,Credit Card,Kyrgyz Republic
5169114,1362761,2021-10-31,2131.44,PayPal,Reunion
1896532,888125,2022-09-09,3840.74,PayPal,Tokelau
5819670,1811071,2024-04-20,1330.53,PayPal,Saint Vincent and the Grenadines
2764177,446234,2022-07-10,833.45,Bank Transfer,Northern Mariana Islands
6098988,666745,2025-07-17,1197.81,Cash,Martinique
6627590,1921847,2025-06-13,312.2,Credit Card,Burkina Faso
451102,1614752,2023-12-27,6105.05,Bank Transfer,Saint Pierre and Miquelon
4241882,1016726,2025-02-10,904.97,PayPal,Paraguay
6985529,1228294,2023-07-01,1039.54,PayPal,Lebanon
3655447,1827933,2024-11-08,2344.43,PayPal,Egypt
6218233,146742,2023-12-28,883.83,Credit Card,Latvia
2476025,328189,2024-04-18,210.6,Cash,Bouvet Island (Bouvetoya)
3208942,1200156,2023-11-22,2646.22,Cash,Gabon
2123277,1516096,2023-12-22,1459.7,Cash,South Georgia and the South Sandwich Islands
4143911,1769627,2024-02-25,3577.12,PayPal,Lithuania
3538693,1822666,2025-07-14,3077.28,Cash,Gabon
7511303,690673,2023-08-03,1763.35,Cash,Palestinian Territory
2644522,154152,2022-01-07,1892.48,Credit Card,Anguilla
276617,1819060,2023-06-22,3027.2,Cash,United Kingdom
4045560,1040452,2023-04-09,296.78,Credit Card,Vietnam
5333015,1112616,2022-12-08,1572.9,Bank Transfer,Kazakhstan
1537089,715439,2025-03-07,2430.18,Credit Card,Oman
2200397,454748,2025-01-10,2551.56,Cash,Nepal
1026634,1602985,2022-03-11,2413.36,Bank Transfer,North Macedonia
219996,238356,2022-08-30,2375.44,Credit Card,Papua New Guinea
3528253,451240,2024-02-04,538.48,PayPal,Burkina Faso
1540065,275788,2024-09-17,2331.81,Credit Card,Belize
3201901,1627755,2025-01-15,2951.22,Cash,Uruguay
792959,1608737,2024-10-22,336.05,PayPal,Hungary
4411786,1408921,2024-01-19,3832.85,Bank Transfer,Afghanistan
1589934,1226749,2021-12-23,1224.6,Credit Card,Sweden
6524582,1765306,2024-06-10,515.0,Credit Card,United States Minor Outlying Islands
6134821,516419,2025-08-01,1541.94,Bank Transfer,Kenya
3734553,865723,2023-03-09,499.35,Bank Transfer,Hungary
2710015,390684,2023-11-13,637.36,PayPal,Ireland
7916147,1499824,2025-04-23,399.22,Credit Card,Puerto Rico
73953,1140520,2023-08-01,1045.54,Bank Transfer,American Samoa
6723272,1721688,2023-10-30,1330.93,Credit Card,Brazil
3256604,1514000,2025-03-20,1451.94,Credit Card,Eritrea
3320805,1257984,2023-07-27,735.23,PayPal,Eritrea
5006433,1910739,2023-06-18,3433.24,PayPal,Papua New Guinea
5529030,1125532,2022-04-29,2048.25,PayPal,Ethiopia
4495947,1108167,2024-11-05,0.0,Bank Transfer,Argentina
5754132,1758312,2025-02-27,1568.68,Credit Card,Afghanistan
5753637,1422312,2024-02-12,2999.16,Cash,Fiji
2931750,365080,2023-07-26,6050.73,Credit Card,Mauritania
4175713,1378439,2022-03-15,950.04,PayPal,Turkmenistan
2722146,1440000,2023-03-12,1494.56,Credit Card,Bangladesh
5563412,1971732,2024-11-07,700.14,Credit Card,Gambia
4864194,593938,2022-02-16,2387.75,Credit Card,Bahrain
7972356,64004,2021-10-22,1250.48,Cash,Chile
2119567,645734,2022-02-13,3664.95,PayPal,Syrian Arab Republic
2045598,1295949,2025-06-21,117.56,PayPal,Guernsey
5520579,923097,2022-01-30,1250.1,Credit Card,Pitcairn Islands
4353946,1063347,2022-04-29,1984.95,Bank Transfer,Saint Pierre and Miquelon
7622036,1261350,2021-10-25,3463.44,PayPal,United States Minor Outlying Islands
4562739,252550,2023-12-22,2406.81,PayPal,Cocos (Keeling) Islands
5370336,1143327,2022-11-16,892.92,Bank Transfer,Belize
1756483,664791,2025-08-24,0.0,Cash,Austria
1172704,602625,2022-01-03,0.0,Credit Card,Mozambique
5920955,1547669,2023-09-27,4199.79,Cash,Mozambique
384759,1187190,2025-01-14,456.26,Credit Card,Mozambique
6809166,13283,2023-01-01,833.74,Cash,Barbados
1037557,1625445,2025-03-11,0.0,Cash,Macao
150374,400082,2024-09-11,0.0,PayPal,Djibouti
5685563,86461,2025-08-23,2408.36,PayPal,Montserrat
1815390,1716334,2023-12-19,4766.76,PayPal,Ghana
4185651,728723,2023-03-18,3955.57,Bank Transfer,Martinique
5767992,764683,2023-11-19,328.7,Cash,British Virgin Islands
3114411,1202370,2022-01-07,1376.91,Bank Transfer,Yemen
4970273,1399575,2025-05-08,1833.04,Credit Card,Somalia
2870514,1102634,2023-09-03,498.13,PayPal,Angola
5083996,547167,2023-06-12,1391.28,Credit Card,Cape Verde
7853036,1014400,2022-01-16,1872.1,Credit Card,Palau
6323933,1457078,2022-01-06,6992.0,PayPal,Lebanon
5162439,778149,2023-05-16,956.25,PayPal,Zambia
7560372,699361,2023-10-31,94.35,Bank Transfer,Libyan Arab Jamahiriya
6815381,763320,2022-08-24,1929.66,Cash,Cuba
6282723,1818014,2022-01-21,2848.73,Credit Card,Eritrea
4516214,402682,2021-10-15,0.0,Cash,El Salvador
3014344,1971910,2022-07-28,1429.85,Bank Transfer,Holy See (Vatican City State)
2805631,517820,2024-01-31,171.96,Bank Transfer,Gabon
5527316,113940,2024-11-02,1482.68,Credit Card,Ethiopia
445721,1787426,2025-03-28,108.8,Credit Card,Moldova
7660109,5410,2022-12-15,5709.1,Bank Transfer,Tonga
1948,893312,2025-06-23,1966.83,Bank Transfer,Mauritania
6035711,629217,2025-06-21,2064.8,Cash,Maldives
926785,1386636,2025-01-17,1840.0,Bank Transfer,Marshall Islands
5323853,442434,2023-04-26,8854.34,Bank Transfer,Slovenia
6847080,1313065,2022-01-24,4509.7,Cash,Jersey
6467886,864130,2021-09-14,5746.42,PayPal,Ethiopia
6999726,548929,2022-07-20,3072.48,Cash,Guatemala
2321514,1659690,2025-01-11,843.4,Cash,Namibia
7106029,252067,2025-04-02,161.78,Cash,French Guiana
7226274,1097863,2022-02-27,3677.26,Cash,Libyan Arab Jamahiriya
2446458,1607629,2024-03-12,0.0,Credit Card,Mauritius
1588477,1612015,2023-10-22,814.1,Bank Transfer,Central African Republic
5135511,1168233,2024-09-12,420.28,Credit Card,Libyan Arab Jamahiriya
846962,1309567,2024-04-27,863.8,Cash,Nepal
1468289,503943,2024-04-01,4229.85,Credit Card,India
5316315,191030,2023-06-27,0.0,PayPal,Suriname
3889753,779085,2023-02-12,1953.71,PayPal,Bahrain
2283731,782140,2023-10-26,838.68,Cash,Ireland
3965134,1746294,2025-03-29,2175.14,Bank Transfer,Antigua and Barbuda
3607016,26890,2022-08-30,1019.04,PayPal,Bosnia and Herzegovina
1442267,909709,2023-09-26,444.13,Cash,Hungary
4708871,493260,2022-02-03,500.04,Cash,Kuwait
5731273,1766193,2024-05-10,2459.9,Cash,Armenia
3347612,1309859,2025-01-23,6857.99,Credit Card,Mali
3126556,141567,2023-11-19,2804.44,PayPal,Lao People's Democratic Republic
3871159,1200917,2021-09-01,3104.78,Credit Card,Czech Republic
186643,1518031,2021-11-16,3986.76,Credit Card,Gambia
2034778,1583613,2023-02-04,1879.48,Cash,Lebanon
2392820,452675,2023-05-30,3091.48,Credit Card,Paraguay
6801403,1448012,2025-02-15,3292.49,Credit Card,Kazakhstan
6010136,1290026,2024-08-07,2269.14,PayPal,Iraq
7020270,1615230,2024-05-29,6051.96,Bank Transfer,Iceland
2305530,532464,2024-11-24,2137.59,PayPal,Croatia
5326540,1919629,2024-11-01,1158.07,Bank Transfer,Marshall Islands
2794389,1804965,2023-06-27,2787.68,Bank Transfer,Bangladesh
359324,169933,2025-07-06,1783.6,PayPal,United States Virgin Islands
5125858,25636,2023-01-15,0.0,PayPal,Bermuda
372178,1480316,2024-09-13,2672.09,Credit Card,Christmas Island
665274,1947591,2022-03-01,1871.15,Bank Transfer,British Virgin Islands
4442942,629936,2025-04-22,1449.15,PayPal,Barbados
6924811,1111730,2022-01-18,691.18,Credit Card,Gibraltar
6733466,1512014,2025-07-26,1228.76,PayPal,Bosnia and Herzegovina
318371,1320244,2023-09-29,1401.26,PayPal,Monaco
1760551,968722,2022-02-22,0.0,PayPal,Sierra Leone
1634537,1304053,2022-08-23,1528.92,Credit Card,Namibia
3842551,1984082,2024-10-25,3546.91,Bank Transfer,Chad
2159430,1783418,2025-03-12,1394.91,Cash,South Georgia and the South Sandwich Islands
3982458,547042,2023-07-20,0.0,Cash,Montserrat
2469758,19966,2023-08-10,2765.08,PayPal,North Macedonia
6896488,1951561,2022-06-25,1695.52,Cash,Venezuela
6599552,944157,2023-01-03,1540.83,Cash,Saint Barthelemy
5750022,169155,2021-10-04,4964.78,Bank Transfer,Lesotho
4962472,145378,2022-06-03,518.7,Credit Card,Wallis and Futuna
3880631,1519490,2024-03-21,2316.21,Bank Transfer,Myanmar
4895280,995028,2024-07-30,214.36,Cash,French Guiana
3363755,639348,2022-12-19,1941.45,PayPal,British Indian Ocean Territory (Chagos Archipelago)
6146921,1254649,2022-10-30,1284.03,Cash,Saint Barthelemy
7606381,540451,2022-08-30,2218.75,PayPal,Austria
3551598,1853303,2022-10-03,107.55,Credit Card,Austria
3278997,1621304,2023-07-21,444.27,Bank Transfer,Sudan
7024066,1618602,2022-04-08,510.8,PayPal,Saint Pierre and Miquelon
3141555,1887030,2025-05-28,0.0,Cash,Papua New Guinea
1276109,1825171,2023-04-29,1124.09,Bank Transfer,Gambia
1861392,858604,2024-10-01,1135.86,Bank Transfer,India
1384189,694252,2024-10-10,494.06,Bank Transfer,Malaysia
3820377,1303143,2022-11-04,2668.57,Credit Card,Chile
199196,787599,2022-12-29,4227.62,Credit Card,Luxembourg
325401,581940,2024-04-21,492.19,Bank Transfer,Cook Islands
3387687,1993707,2022-09-14,620.7,PayPal,Liberia
1151908,631367,2022-04-23,1532.11,PayPal,Guinea-Bissau
1485841,1985131,2022-07-23,2947.91,Credit Card,Liberia
2686642,1792851,2025-01-19,965.84,Credit Card,Palestinian Territory
7270275,1946929,2024-09-11,606.45,Bank Transfer,Czech Republic
4300505,20824,2021-12-01,6391.42,Credit Card,Anguilla
3291827,235867,2024-09-24,322.62,Cash,Hungary
6115747,569840,2022-12-18,3900.91,Bank Transfer,Estonia
3566575,341651,2023-10-10,497.61,Credit Card,Luxembourg
546106,1222447,2024-01-23,1750.36,Cash,United States Virgin Islands
837696,1388142,2023-01-24,0.0,Credit Card,British Indian Ocean Territory (Chagos Archipelago)
4558447,1522041,2022-04-23,3350.35,Credit Card,South Georgia and the South Sandwich Islands
3612231,34735,2022-12-28,0.0,Bank Transfer,Philippines
2365428,549407,2025-05-02,361.69,Credit Card,Liberia
1290501,135841,2024-12-13,5289.68,Credit Card,Guyana
1939851,45735,2022-08-15,5147.22,Cash,Puerto Rico
3146186,932178,2025-07-28,1715.91,Cash,Slovenia
5766312,819561,2025-06-23,3277.26,Credit Card,Bahrain
6227251,1424575,2024-08-03,468.87,Credit Card,Namibia
4196495,1654479,2021-12-06,1863.72,Bank Transfer,Sweden
1123458,69190,2023-10-28,461.44,Bank Transfer,Yemen
6709451,499169,2023-10-25,946.75,PayPal,Italy
4412454,148718,2023-10-10,1548.41,PayPal,Albania
2685647,1847543,2025-07-15,2305.46,Credit Card,Timor-Leste
4386483,1006054,2023-12-19,1743.9,PayPal,Zambia
6494776,709754,2022-10-09,272.86,PayPal,Tajikistan
5892760,1834864,2023-11-13,646.77,Cash,French Guiana
3442716,1225444,2021-09-13,1022.77,PayPal,Saint Vincent and the Grenadines
597955,1860337,2025-06-09,1023.28,Bank Transfer,Dominica
4582491,1551728,2021-11-25,0.0,Bank Transfer,Papua New Guinea
3660190,711452,2022-06-06,969.25,Credit Card,Estonia
3590053,1813967,2024-01-15,8439.48,Bank Transfer,Belgium
4622084,1836822,2022-03-03,568.46,PayPal,Senegal
6285613,842486,2025-08-06,1753.6,PayPal,Belize
4039466,1910454,2021-10-18,3189.34,Credit Card,Uzbekistan
6726446,1521432,2025-08-16,1583.71,Credit Card,United Kingdom
2977669,187405,2023-02-24,3536.31,Cash,Hungary
6477875,818474,2025-01-13,1727.07,Cash,Saint Lucia
6683767,1490423,2022-05-28,0.0,Credit Card,Seychelles
2081602,481361,2024-09-26,931.6,Cash,Papua New Guinea
1409350,1585014,2023-06-15,1160.31,PayPal,Saint Vincent and the Grenadines
5505593,1235142,2025-04-25,6245.62,PayPal,Argentina
6417916,536904,2023-11-18,5043.64,PayPal,Bermuda
5625509,1128595,2024-11-25,0.0,Credit Card,Sri Lanka
4371227,1608116,2025-06-11,1180.76,Bank Transfer,Paraguay
45371,1293169,2022-12-11,2873.32,Cash,Malaysia
4589553,1843993,2023-03-06,1416.68,PayPal,Anguilla
6905405,1434662,2022-11-09,0.0,PayPal,Bosnia and Herzegovina
4624335,1850468,2024-08-17,5080.28,Bank Transfer,Saint Martin
1572156,1912276,2023-01-21,1897.11,Credit Card,Venezuela
3316502,733910,2023-10-25,2600.87,Bank Transfer,Chile
3833692,1751863,2024-08-19,745.6,Credit Card,Ireland
7819643,1728746,2022-04-01,290.79,Bank Transfer,Uruguay
2247190,997325,2023-12-01,2552.68,Cash,Iran
5593850,685871,2021-10-14,2390.05,Cash,San Marino
5444801,1973877,2023-04-25,3680.34,Bank Transfer,Finland
5843750,999415,2024-02-16,2139.43,Bank Transfer,Slovenia
5352458,1041626,2023-08-29,3860.37,Credit Card,Kazakhstan
3466563,1537501,2022-10-12,137.86,Cash,Bulgaria
1883025,560744,2022-09-03,1893.55,Bank Transfer,Dominican Republic
4067129,382122,2023-12-09,5674.53,Bank Transfer,Eritrea
1349902,1788839,2023-09-15,1852.52,PayPal,Brunei Darussalam
3748423,1196506,2022-06-12,1073.15,Cash,Portugal
568896,1898519,2022-06-30,5700.72,PayPal,Algeria
2165567,1087511,2021-11-29,2822.79,Cash,Cape Verde
6664123,636055,2025-04-18,2166.63,Credit Card,Eritrea
1380384,1779097,2024-10-19,5841.37,Bank Transfer,Botswana
1188154,1316839,2023-03-12,5104.36,PayPal,Panama
7841065,1806903,2022-08-17,1683.42,Cash,Palestinian Territory
5381737,179123,2023-12-10,4463.08,Bank Transfer,Iceland
4686892,1980737,2023-05-21,5564.87,Credit Card,United States Minor Outlying Islands
4163716,1965396,2021-10-09,1830.94,PayPal,Yemen
5723291,1521475,2023-09-16,21.77,Credit Card,Cayman Islands
2176912,1745847,2024-03-21,0.0,PayPal,Poland
5542728,1951805,2021-12-25,252.87,Bank Transfer,Cameroon
6114706,581158,2024-10-31,1140.73,PayPal,Cameroon
6051269,1752920,2025-03-09,1759.03,Bank Transfer,Uruguay
5167151,550381,2023-07-19,751.24,Cash,Colombia
3224073,21115,2021-09-17,1446.75,Credit Card,Jersey
7640701,42231,2022-03-20,350.88,Cash,Ghana
3700055,1354504,2023-09-14,1570.06,PayPal,Brazil
4194388,1726992,2022-02-24,2045.38,Cash,Pakistan
2341212,1499096,2023-05-30,258.24,Credit Card,Australia
5744585,1206474,2024-09-18,2073.07,Bank Transfer,Niue
1498313,210389,2022-05-07,3356.25,Credit Card,Guatemala
3830977,912240,2024-06-27,1493.87,Cash,Tuvalu
2318463,298116,2022-04-26,56.19,Credit Card,Liberia
3937443,14126,2022-07-27,2055.05,Cash,Vanuatu
2634906,1481487,2022-08-21,2412.21,Cash,Taiwan
4065989,183773,2022-06-10,479.87,PayPal,Guinea-Bissau
6004770,999538,2023-09-27,2416.9,Credit Card,Venezuela
6574502,1683906,2023-04-27,0.0,Cash,Saint Helena
1054271,990602,2024-03-01,2042.04,Cash,Myanmar
5955084,1559323,2024-05-20,2681.66,Credit Card,Philippines
6493151,1716179,2022-10-12,986.89,PayPal,Ireland
624384,131586,2024-12-07,113.91,Credit Card,Kyrgyz Republic
3451235,548339,2025-06-18,1440.0,Cash,Iceland
326987,1510940,2022-11-05,169.13,PayPal,Peru
7302033,1356772,2024-03-13,764.7,Bank Transfer,Cambodia
6946467,667466,2025-08-04,1977.3,Bank Transfer,Turks and Caicos Islands
5206916,1511795,2025-03-15,1631.98,Cash,Solomon Islands
941408,1381774,2023-01-19,633.3,Bank Transfer,Bosnia and Herzegovina
5378785,1362513,2021-09-11,2816.88,Credit Card,Sri Lanka
6987131,1454652,2025-03-19,1442.82,PayPal,Saint Pierre and Miquelon
6621616,1629064,2021-10-08,2725.26,Cash,Paraguay
1819267,63204,2023-05-18,2703.54,Cash,Pakistan
7216141,184879,2023-09-29,564.09,Bank Transfer,Thailand
6474405,1389208,2023-10-19,695.98,Bank Transfer,Japan
619927,1196136,2025-06-25,3382.57,PayPal,Bosnia and Herzegovina
5177774,1846488,2022-07-31,2352.77,Bank Transfer,South Africa
4062224,642223,2022-11-11,2377.7,Cash,Costa Rica
4699311,678862,2024-09-06,6311.06,PayPal,Montenegro
1548573,1249823,2021-09-03,3529.03,Cash,Namibia
3300749,605731,2023-08-07,1598.77,Bank Transfer,Bermuda
7699507,308822,2021-12-09,2586.84,Cash,Oman
6183226,928216,2022-10-06,3060.94,Cash,Kazakhstan
6679249,1008806,2023-12-30,186.64,Bank Transfer,Liberia
7222206,821869,2025-01-16,3551.22,Cash,Andorra
4462382,335404,2022-02-20,1851.17,Bank Transfer,Ghana
6738648,1010772,2025-04-30,1223.58,Credit Card,Saint Vincent and the Grenadines
7603021,1084006,2024-10-12,4108.88,Cash,Turks and Caicos Islands
2281522,1324039,2024-10-21,4944.99,Credit Card,Finland
755838,1506192,2021-12-28,1234.33,PayPal,Argentina
5149272,691640,2023-06-12,688.92,Bank Transfer,Austria
247854,257229,2025-07-30,3477.34,Bank Transfer,Sao Tome and Principe
6219333,1507670,2025-03-24,1697.4,Credit Card,United Kingdom
2010171,1171233,2024-10-27,1955.12,Bank Transfer,Croatia
432162,1413499,2022-12-01,4180.35,PayPal,Honduras
56390,1900438,2023-07-05,2490.41,Bank Transfer,Marshall Islands
6117361,1077112,2022-06-29,474.6,Credit Card,Yemen
1894819,146961,2021-12-31,0.0,PayPal,Falkland Islands (Malvinas)
2123405,1617733,2024-01-17,2288.59,Bank Transfer,Guernsey
2398088,145624,2022-10-07,2414.78,PayPal,Bangladesh
2697274,1051911,2025-01-13,852.8,Credit Card,Sao Tome and Principe
2596973,745491,2023-09-05,373.7,Cash,Oman
2469328,33348,2022-12-25,4637.64,Bank Transfer,Tuvalu
151532,973539,2022-01-25,898.2,Cash,Nauru
3606803,1216497,2025-07-15,2122.65,Bank Transfer,Niger
2241192,1931521,2025-08-14,1911.36,Cash,Togo
3257061,328328,2021-10-26,2789.08,Bank Transfer,Philippines
3738789,1017917,2023-12-12,612.75,Bank Transfer,Antarctica (the territory South of 60 deg S)
6292976,933361,2024-05-12,774.73,Bank Transfer,Ukraine
1900051,25931,2025-05-11,3675.22,Bank Transfer,Malaysia
3586165,1525418,2024-05-03,964.41,Bank Transfer,Faroe Islands
6180647,51186,2022-10-14,2203.06,Bank Transfer,Burkina Faso
5305677,530102,2022-03-13,2040.68,Cash,Syrian Arab Republic
694384,914483,2021-09-04,1730.29,Credit Card,Luxembourg
1933002,731588,2024-04-12,4346.48,Bank Transfer,Nigeria
6070066,1065347,2024-05-24,2066.31,Cash,Mozambique
729832,880247,2024-04-04,1267.67,Cash,Georgia
2304288,1251924,2024-07-08,1852.72,Cash,Tokelau
80089,104064,2022-09-04,653.68,Bank Transfer,Russian Federation
3031420,810614,2024-08-03,2353.91,PayPal,Cambodia
3189117,1152518,2021-11-24,1928.34,Cash,Sierra Leone
4739408,1221323,2022-09-21,0.0,PayPal,Cook Islands
7238023,422981,2024-06-17,0.0,Bank Transfer,Cyprus
6247981,798812,2022-06-09,2157.07,Credit Card,Tokelau
1769689,1346256,2023-09-29,974.88,Bank Transfer,Northern Mariana Islands
6155268,85794,2022-03-24,0.0,Cash,Cape Verde
3756712,1803664,2022-11-26,1039.76,PayPal,Latvia
6755949,596495,2024-08-28,1163.9,Cash,Western Sahara
6548098,1075383,2022-05-18,2393.05,Credit Card,Aruba
2799294,849916,2024-11-16,1385.45,Cash,Norway
4593757,206950,2022-07-23,492.3,Bank Transfer,French Guiana
5446552,1521968,2022-02-25,1283.44,Credit Card,Reunion
7029795,1740651,2022-11-17,605.72,Bank Transfer,Cambodia
3333716,237813,2023-11-26,1565.72,PayPal,Argentina
7569525,545133,2023-03-16,2482.62,Credit Card,Mayotte
5636399,1012385,2021-12-30,4513.06,PayPal,Vanuatu
5252984,804373,2024-05-18,3907.88,Credit Card,Macao
7933269,1272515,2022-06-26,685.85,Cash,Svalbard & Jan Mayen Islands
240016,830771,2025-01-03,1525.32,PayPal,Saint Barthelemy
968652,1788312,2024-05-30,461.16,PayPal,Ireland
3041531,1151026,2025-05-25,274.16,Cash,Bouvet Island (Bouvetoya)
2631895,954835,2023-04-06,5419.05,PayPal,Venezuela
3395811,1942476,2024-09-19,143.44,Cash,Ukraine
4010812,56852,2023-05-13,1938.04,Credit Card,Tunisia
4174690,597273,2024-09-07,1453.96,Credit Card,Austria
3910075,1420722,2024-04-01,1419.89,PayPal,Palestinian Territory
2196246,786555,2023-11-27,3214.8,Cash,Tonga
6453937,200698,2023-01-21,2871.05,Bank Transfer,British Virgin Islands
296417,101247,2025-03-21,1641.95,Credit Card,Chad
1264273,1549908,2021-08-31,4313.32,Bank Transfer,Macao
979647,720095,2021-09-04,752.95,Credit Card,Belgium
4870377,1375328,2025-07-15,798.92,Credit Card,Nauru
7359371,401662,2025-06-09,3139.21,Cash,Anguilla
1705016,651418,2021-12-28,2124.79,Cash,Turks and Caicos Islands
6473371,1597833,2022-07-09,403.39,Cash,Haiti
